Date,Open,High,Low,Close,Volume,Adj Close
2016-11-25,14.06,14.18,13.79,14.16,51795500,14.16
2016-11-24,13.98,14.31,13.93,14.11,58122500,14.11
2016-11-23,14.23,14.33,13.94,14.00,49560700,14.00
2016-11-22,14.05,14.27,13.99,14.19,51767600,14.19
2016-11-21,13.90,14.18,13.85,14.00,52961500,14.00
2016-11-18,14.28,14.28,13.92,13.96,61928300,13.96
2016-11-17,14.25,14.53,14.03,14.40,74502800,14.40
2016-11-16,14.37,14.44,14.09,14.20,57097600,14.20
2016-11-15,14.26,14.45,14.07,14.28,60680500,14.28
2016-11-14,14.02,14.73,13.98,14.25,127042700,14.25
2016-11-11,13.57,14.30,13.51,14.15,134756100,14.15
2016-11-10,13.46,13.67,13.41,13.48,62338500,13.48
2016-11-09,13.44,13.47,13.07,13.23,70780400,13.23
2016-11-08,13.75,13.84,13.43,13.45,58567500,13.45
2016-11-07,13.54,13.65,13.44,13.54,49793000,13.54
2016-11-04,13.65,13.79,13.45,13.56,69492700,13.56
2016-11-03,13.12,14.13,13.11,13.71,129541400,13.71
2016-11-02,13.20,13.52,13.11,13.18,62540500,13.18
2016-11-01,13.01,13.32,12.97,13.26,48388700,13.26
2016-10-31,12.91,13.11,12.82,13.02,35600600,13.02
2016-10-28,13.17,13.55,13.00,13.01,68293300,13.01
2016-10-27,13.08,13.19,13.02,13.12,36486200,13.12
2016-10-26,13.07,13.41,13.02,13.10,74134500,13.10
2016-10-25,12.92,13.09,12.92,13.00,41289200,13.00
2016-10-24,12.64,13.19,12.59,12.95,80039400,12.95
2016-10-21,12.57,12.86,12.55,12.69,42078100,12.69
2016-10-20,12.57,12.66,12.52,12.55,19052300,12.55
2016-10-19,12.67,12.68,12.50,12.54,26292700,12.54
2016-10-18,12.27,12.65,12.27,12.64,41057900,12.64
2016-10-17,12.43,12.50,12.25,12.25,20041300,12.25
2016-10-14,12.46,12.47,12.34,12.40,15320400,12.40
