Date,Open,High,Low,Close,Volume,Adj Close
2016-11-24,25.15,26.28,24.60,25.13,24656600,25.13
2016-11-23,23.89,23.89,23.89,23.89,000,23.89
2016-11-22,23.89,23.89,23.89,23.89,000,23.89
2016-11-21,23.89,23.89,23.89,23.89,000,23.89
2016-11-18,23.89,23.89,23.89,23.89,000,23.89
2016-11-17,23.89,23.89,23.89,23.89,000,23.89
2016-11-16,23.89,23.89,23.89,23.89,000,23.89
2016-11-15,23.89,23.89,23.89,23.89,000,23.89
2016-11-14,24.07,24.07,23.71,23.89,3714400,23.89
2016-11-11,24.07,24.07,23.71,23.89,3714400,23.89
2016-11-10,23.90,24.15,23.72,24.03,5711100,24.03
2016-11-09,23.64,23.92,23.21,23.85,5755900,23.85
2016-11-08,23.70,23.89,23.60,23.66,2923200,23.66
2016-11-07,23.46,23.68,23.39,23.68,2579500,23.68
2016-11-04,23.30,23.63,23.30,23.44,2499100,23.44
2016-11-03,23.19,23.59,23.11,23.40,3150100,23.40
2016-11-02,23.41,23.50,23.15,23.22,2016900,23.22
2016-11-01,23.18,23.54,23.10,23.51,2985100,23.51
2016-10-31,23.16,23.27,22.98,23.11,2622400,23.11
2016-10-28,23.63,23.83,23.26,23.27,2992900,23.27
2016-10-27,23.48,23.73,23.48,23.70,2158800,23.70
2016-10-26,23.80,23.84,23.46,23.56,2845500,23.56
2016-10-25,24.00,24.07,23.70,23.83,2673100,23.83
2016-10-24,23.77,24.09,23.64,23.95,3449800,23.95
2016-10-21,23.79,23.79,23.41,23.73,2937600,23.73
2016-10-20,23.59,23.79,23.37,23.72,3200000,23.72
2016-10-19,23.73,23.78,23.40,23.50,2035900,23.50
2016-10-18,23.25,23.69,23.20,23.68,2428600,23.68
2016-10-17,23.58,23.77,23.20,23.24,2172800,23.24
2016-10-14,23.80,23.80,23.40,23.58,2186300,23.58
2016-10-13,23.72,23.90,23.51,23.78,2764800,23.78
2016-10-12,23.69,23.81,23.50,23.69,1991500,23.69
2016-10-11,23.65,23.79,23.58,23.68,2605600,23.68
2016-10-10,23.13,23.83,23.13,23.72,4094400,23.72
2016-10-07,23.02,23.02,23.02,23.02,000,23.02
2016-10-06,23.02,23.02,23.02,23.02,000,23.02
2016-10-05,23.02,23.02,23.02,23.02,000,23.02
2016-10-04,23.02,23.02,23.02,23.02,000,23.02
2016-10-03,23.02,23.02,23.02,23.02,000,23.02
2016-09-30,22.90,23.08,22.90,23.02,1278400,23.02
2016-09-29,22.93,23.14,22.92,22.96,1348600,22.96
2016-09-28,23.30,23.30,22.92,22.93,1862000,22.93
2016-09-27,22.81,23.24,22.80,23.22,2706900,23.22
2016-09-26,23.01,23.20,22.80,22.82,2168700,22.82
2016-09-23,23.25,23.33,23.06,23.06,1487800,23.06
2016-09-22,23.31,23.45,23.18,23.19,1781800,23.19
2016-09-21,23.17,23.29,23.04,23.20,1403100,23.20
2016-09-20,23.38,23.38,23.03,23.09,1891000,23.09
2016-09-19,23.12,23.50,23.10,23.31,1791700,23.31
2016-09-16,23.00,23.00,23.00,23.00,000,23.00
2016-09-15,23.00,23.00,23.00,23.00,000,23.00
2016-09-14,23.18,23.40,22.92,23.00,2173400,23.00
2016-09-13,23.22,23.44,23.10,23.19,2304600,23.19
2016-09-12,23.58,23.73,23.17,23.17,4155000,23.17
2016-09-09,24.22,24.39,23.91,23.93,2927500,23.93
2016-09-08,23.80,24.55,23.80,24.28,5431700,24.28
2016-09-07,24.11,24.14,23.81,23.85,2781600,23.85
2016-09-06,23.53,24.19,23.30,24.10,4488300,24.10
2016-09-05,23.65,23.96,23.57,23.60,1836300,23.60
2016-09-02,23.77,23.85,23.55,23.63,2671700,23.63
2016-09-01,24.35,24.35,23.85,23.85,2954300,23.85
2016-08-31,24.00,24.25,23.80,24.16,2706700,24.16
2016-08-30,24.04,24.20,23.88,24.00,2446300,24.00
2016-08-29,24.00,24.29,23.82,24.03,3051300,24.03
2016-08-26,23.82,24.26,23.82,24.00,3115500,24.00
